Wavelet,Threshold,MSE,RMSE,SNR_dB,RRMSE,Spectral_Loss
Biorthogonal,hard,0.44145180240273474,0.6456433920075176,-2.755773209147155,1.6690630096197128,145.6505219268799
Biorthogonal,soft,0.3042185574331702,0.5315298204240365,-0.9874734859714001,1.3131490924954414,94.32706571147533
Reverse Biorthogonal,hard,0.4417088442668319,0.6445634879577028,-2.7056861471850424,1.587932766675949,138.58353770256042
Reverse Biorthogonal,soft,0.3279753122183837,0.5523620400839185,-1.2694490303722474,1.3178070199489593,95.57824626788275
Coiflet,hard,0.40558110740035774,0.6144065584283779,-2.2578554070740937,1.5620598955452443,136.31538608551026
Coiflet,soft,0.2963820273177381,0.5227259783674398,-0.7726588767716723,1.2713880236446857,99.63438246028039
