combo,MSE,SpectralLoss,SNR_dB,RRMSE_temporal,RRMSE_spectral,CC
emg,0.0769253745675087,2.1140706539154053,5.551021099090576,0.5870257019996643,0.3944130539894104,0.7782195210456848
eog,0.04865776374936104,1.5405564308166504,9.10667610168457,0.3891308605670929,0.2597214877605438,0.9028874635696411
ecg,0.11506253480911255,2.700920820236206,6.042349338531494,0.5600692629814148,0.3964766263961792,0.7936689853668213
emg_eog,0.0646679624915123,1.831106424331665,4.380221366882324,0.659027636051178,0.4365958273410797,0.7192917466163635
emg_ecg,0.0921722799539566,2.4050707817077637,3.2878475189208984,0.7418332099914551,0.5194830298423767,0.6469778418540955
eog_ecg,0.07523175328969955,2.0671021938323975,4.954564094543457,0.6324566006660461,0.44118350744247437,0.7306634187698364
emg_eog_ecg,0.07131797075271606,2.020871877670288,2.942220687866211,0.7697762250900269,0.5335577726364136,0.6162040829658508
